;Cantidad de personas;Año del censo;Partido;Sexo de nacimiento
175;40;2002;Ezeiza;Mujeres Residentes del campo
176;440;2002;Florencio Varela;Mujeres Residentes del campo
177;291;2002;Florentino Ameghino;Mujeres Residentes del campo
178;367;2002;General Alvarado;Mujeres Residentes del campo
179;438;2002;General Alvear;Mujeres Residentes del campo
180;389;2002;General Arenales;Mujeres Residentes del campo
181;358;2002;General Belgrano;Mujeres Residentes del campo
182;221;2002;General Guido;Mujeres Residentes del campo
183;490;2002;General Juan Madariaga;Mujeres Residentes del campo
184;408;2002;General La Madrid;Mujeres Residentes del campo
185;276;2002;General Las Heras;Mujeres Residentes del campo
186;245;2002;General Lavalle;Mujeres Residentes del campo
187;403;2002;General Paz;Mujeres Residentes del campo
188;604;2002;General Pinto;Mujeres Residentes del campo
189;1317;2002;General Pueyrredón;Mujeres Residentes del campo
190;164;2002;General Rodríguez;Mujeres Residentes del campo
191;4;2002;General San Martín;Mujeres Residentes del campo
192;409;2002;General Viamonte;Mujeres Residentes del campo
193;1281;2002;General Villegas;Mujeres Residentes del campo
194;535;2002;Guaminí;Mujeres Residentes del campo
195;218;2002;Hipólito Yrigoyen;Mujeres Residentes del campo
196;0;2002;Hurlingham;Mujeres Residentes del campo
197;0;2002;Ituzaingó;Mujeres Residentes del campo
198;31;2002;José C, Paz;Mujeres Residentes del campo
199;696;2002;Junín;Mujeres Residentes del campo
200;20;2002;La Costa;Mujeres Residentes del campo
201;157;2002;La Matanza;Mujeres Residentes del campo
202;0;2002;Lanús;Mujeres Residentes del campo
203;3698;2002;La Plata;Mujeres Residentes del campo
204;337;2002;Laprida;Mujeres Residentes del campo
205;548;2002;Las Flores;Mujeres Residentes del campo
206;361;2002;Leandro N, Alem;Mujeres Residentes del campo
207;0;2002;Lezama;Mujeres Residentes del campo
208;1187;2002;Lincoln;Mujeres Residentes del campo
209;691;2002;Lobería;Mujeres Residentes del campo
210;941;2002;Lobos;Mujeres Residentes del campo
211;44;2002;Lomas de Zamora;Mujeres Residentes del campo
212;170;2002;Luján;Mujeres Residentes del campo
213;710;2002;Magdalena;Mujeres Residentes del campo
214;295;2002;Maipú;Mujeres Residentes del campo
215;12;2002;Malvinas Argentinas;Mujeres Residentes del campo
216;516;2002;Mar Chiquita;Mujeres Residentes del campo
217;521;2002;Marcos Paz;Mujeres Residentes del campo
218;528;2002;Mercedes;Mujeres Residentes del campo
219;80;2002;Merlo;Mujeres Residentes del campo
220;510;2002;Monte;Mujeres Residentes del campo
221;4;2002;Monte Hermoso;Mujeres Residentes del campo
222;234;2002;Moreno;Mujeres Residentes del campo
223;0;2002;Morón;Mujeres Residentes del campo
224;789;2002;Navarro;Mujeres Residentes del campo
225;648;2002;Necochea;Mujeres Residentes del campo
226;817;2002;9 de julio;Mujeres Residentes del campo
227;952;2002;Olavarría;Mujeres Residentes del campo
228;694;2002;Patagones;Mujeres Residentes del campo
229;764;2002;Pehuajó;Mujeres Residentes del campo
230;268;2002;Pellegrini;Mujeres Residentes del campo
231;938;2002;Pergamino;Mujeres Residentes del campo
232;268;2002;Pila;Mujeres Residentes del campo
233;420;2002;Pilar;Mujeres Residentes del campo
234;0;2002;Pinamar;Mujeres Residentes del campo
235;42;2002;Presidente Perón;Mujeres Residentes del campo
236;638;2002;Puán;Mujeres Residentes del campo
237;259;2002;Punta Indio;Mujeres Residentes del campo
238;21;2002;Quilmes;Mujeres Residentes del campo
239;300;2002;Ramallo;Mujeres Residentes del campo
240;673;2002;Rauch;Mujeres Residentes del campo
