Año del censo;Provincia;Código del partido;Partido;Total EAPS;EAPS pequeñas (<= 500ha);EAPS grandes (>500 ha);Total de HA;HA ocupadas por EAPS pequeñas;HA ocupadas por EAPS grandes;HA sin limite definido;Superficie promedio;EAPS en manos de Empresas;EAPS en manos de Personas Humanas;EAPS en manos de otros;Superficie en manos de Empresas;Superficie en mano de Personas Humanas;Superficie en Otras manos;Cantidad de Mujeres propietarias de EAPs;Cantidad de Hombres propietarios de EAPs;Cantidad Sin discriminar propietaries EAPS;Mujeres Residentes del campo;Varones Residentes del campo;Empleo;Total ha implantadas;Cantidad de hectáreas implantadas de Cereales;Maiz para grano por hectárea;Trigo pan por hectárea;Otros Cereales por hectareas;Cantidad de hectáreas implantadas de Oleaginosas;Soja por hectárea;Otras oleaginosas por hectareas;Cantidad de hectáreas implantadas de Forrajeras;Forrajeras anuales por hectáreas;Forrajeras perennes por hectáreas;Cantidad de ha para otras plantaciones;Cantidad de hectareas dedicadas a Bosques y montes naturales;Prácticas orgánicasbiodinámicas/agroecológicas_EAPs
2018;Buenos Aires;308;General Guido;309;207;102;215435;49306;117976;48153;697;59;249;8;82355;129067;4013;80;165;4;228;402;331;13510;3852;2448;791;613;3697;2937;760;5836;5218;618;125;67;0
2018;Buenos Aires;315;General Juan Madariaga;252;152;100;257437;31669;186661;39107;1022;67;174;13;119806;88272;49359;57;114;3;199;391;306;45535;11890;8550;3297;43;14811;8882;5929;18678;6606;12072;156;460;0
2018;Buenos Aires;322;General La Madrid;360;173;187;410420;41613;355563;13244;1140;92;248;13;213184;163871;32096;62;176;10;310;728;598;180371;51825;10856;27829;13140;44687;25646;19041;83489;39966;43523;370;46;0
2018;Buenos Aires;329;General Las Heras;214;189;25;53219;31610;21609;0;249;52;149;14;21276;29036;2837;25;122;2;257;378;351;10221;2011;1369;566;76;1668;1668;0;6532;4182;2350;11;149;0
2018;Buenos Aires;336;General Lavalle;225;121;104;232955;27703;181407;23845;1035;47;176;3;99302;118712;14941;37;138;1;198;321;233;7949;627;627;0;0;800;120;680;6029;3293;2736;1;646;0
2018;Buenos Aires;343;General Paz;293;260;33;74291;40429;24298;9564;254;64;224;4;29123;39543;5625;44;176;4;312;402;303;16999;2301;1445;730;126;2987;2925;62;11706;7586;4120;6;54;0
2018;Buenos Aires;351;General Pinto;205;134;71;190780;28317;101868;60595;931;81;106;11;99183;50358;41103;22;78;6;125;274;460;111910;38048;21290;15056;1702;57491;55565;1926;16145;10154;5992;226;200;0
2018;Buenos Aires;357;General Pueyrredón;310;275;35;71922;18407;40759;12755;232;89;218;0;53062;12223;6636;26;186;6;780;1300;883;60220;20214;8101;9064;3049;26959;18602;8356;7493;3616;3877;5556;529;6
2018;Buenos Aires;364;General Rodríguez;74;67;7;12825;5253;5923;1649;173;11;60;0;3702;8181;807;10;49;1;130;238;178;6029;1685;819;838;28;2622;2622;0;1590;205;1386;131;0;0
2018;Buenos Aires;371;General San Martín;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;385;General Viamonte;250;165;85;141960;28814;107757;5389;568;76;155;7;70778;59264;10998;25;123;7;119;198;339;92393;28692;17718;9041;1933;54520;54520;0;8561;5227;3334;620;1032;0
2018;Buenos Aires;392;General Villegas;545;310;235;506935;64707;369407;72821;930;180;325;23;288790;142673;73971;64;253;8;327;752;1020;335206;97798;69019;25009;3770;191852;189413;2439;44875;16412;28464;681;576;3
2018;Buenos Aires;399;Guaminí;566;362;204;443384;71482;352555;19347;783;144;390;18;210179;193257;37495;54;332;4;401;717;861;252574;66420;33170;23673;9578;87524;65980;21544;98207;51234;46973;424;281;21
2018;Buenos Aires;406;Hipólito Yrigoyen;166;120;46;117190;19976;68786;28429;706;45;115;3;70014;41240;5937;17;97;1;107;237;238;89302;32395;18466;8731;5199;47216;43634;3582;9439;6631;2808;252;439;0
2018;Buenos Aires;408;Hurlingham;0;0;0;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;3;0
2018;Buenos Aires;410;Ituzaingó;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2018;Buenos Aires;412;"José C, Paz";6;6;0;9;9;0;0;1;0;5;0;2;7;0;0;5;0;2;13;3;7;0;0;0;0;0;0;0;0;0;0;7;1;0
2018;Buenos Aires;413;Junín;478;407;71;148080;58615;77243;12222;310;109;334;16;63879;55865;28066;59;272;3;519;521;475;123149;38701;20491;15601;2609;74998;74998;0;8389;3995;4394;1061;441;0
2018;Buenos Aires;420;La Costa;9;9;0;3613;2335;0;1278;401;0;11;0;0;3214;0;1;10;0;3;4;5;40;40;40;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;427;La Matanza;9;9;0;2913;1183;0;1730;324;0;10;0;1588;1071;254;0;9;1;12;25;31;1989;386;80;226;80;1230;1230;0;340;70;270;33;8;0
2018;Buenos Aires;434;Lanús;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;Buenos Aires;441;La Plata;1656;1643;13;32241;17980;10835;3426;19;69;1561;24;10259;20758;1176;518;1029;14;3130;4347;3387;6603;535;256;35;244;448;448;0;2697;1748;950;2923;124;30
2018;Buenos Aires;448;Laprida;331;164;167;328240;33060;282560;12620;992;88;209;14;145652;129435;50010;49;143;17;477;715;423;53797;14547;2670;8395;3483;9323;8042;1281;29919;19072;10847;8;253;0
2018;Buenos Aires;455;Las Flores;386;280;106;245587;48600;196988;0;636;95;278;0;132857;97612;13931;71;205;2;323;573;361;44747;11377;8957;1963;457;16285;11051;5234;17018;10148;6871;66;940;0
2018;Buenos Aires;462;"Leandro N, Alem";178;122;56;116205;21558;63963;30684;653;50;123;4;60558;49075;6464;36;85;2;147;313;268;82082;28834;19227;9255;352;48651;48651;0;4164;2997;1167;398;162;0
2018;Buenos Aires;466;Lezama;233;193;40;74540;29055;35079;10406;320;54;175;6;33547;36578;4070;36;138;1;63;220;177;21148;6213;4114;1944;155;7277;5675;1602;7618;3313;4305;40;200;0
2018;Buenos Aires;469;Lincoln;648;443;205;510767;69758;421930;19079;788;197;418;13;313300;134891;60263;116;293;9;509;948;1206;226481;76769;44164;27559;5046;115424;112506;2918;33586;17041;16545;723;2053;29
2018;Buenos Aires;476;Lobería;416;235;181;342174;48988;252741;40445;823;161;216;32;181909;99310;60575;36;178;2;270;637;756;292332;117425;33807;37773;45844;132597;88199;44398;38019;14222;23797;4291;1110;0
2018;Buenos Aires;483;Lobos;369;309;60;119873;49491;52760;17622;325;100;247;27;55055;49534;15284;46;196;5;388;715;606;64770;24724;15756;7023;1945;28711;27431;1280;10823;7927;2896;512;444;0
2018;Buenos Aires;490;Lomas de Zamora;0;0;0;1282;0;0;1282;0;0;0;1;0;322;960;0;2;0;2;12;16;128;0;0;0;0;0;0;0;128;88;41;0;90;0
