;Cantidad de EAPs;Año del censo;Partido;Tamaño EAPs
292;470.0;1988;Cañuelas;Pequeñas (<=500 ha)
293;221.0;1988;Capitán Sarmiento;Pequeñas (<=500 ha)
294;910.0;1988;Carlos Casares;Pequeñas (<=500 ha)
295;660.0;1988;Carlos Tejedor;Pequeñas (<=500 ha)
296;204.0;1988;Carmen de Areco;Pequeñas (<=500 ha)
297;282.0;1988;Castelli;Pequeñas (<=500 ha)
298;1312.0;1988;Chacabuco;Pequeñas (<=500 ha)
299;801.0;1988;Chascomús;Pequeñas (<=500 ha)
300;1004.0;1988;Chivilcoy;Pequeñas (<=500 ha)
301;508.0;1988;Colón;Pequeñas (<=500 ha)
302;113.0;1988;Coronel de Marina Leonardo Rosales;Pequeñas (<=500 ha)
303;498.0;1988;Coronel Dorrego;Pequeñas (<=500 ha)
304;527.0;1988;Coronel Pringles;Pequeñas (<=500 ha)
305;964.0;1988;Coronel Suárez;Pequeñas (<=500 ha)
306;591.0;1988;Daireaux;Pequeñas (<=500 ha)
307;314.0;1988;Dolores;Pequeñas (<=500 ha)
308;14.0;1988;Ensenada;Pequeñas (<=500 ha)
309;425.0;1988;Escobar;Pequeñas (<=500 ha)
310;149.0;1988;Esteban Echeverría;Pequeñas (<=500 ha)
311;576.0;1988;Exaltación de la Cruz;Pequeñas (<=500 ha)
312;0.0;1988;Ezeiza;Pequeñas (<=500 ha)
313;588.0;1988;Florencio Varela;Pequeñas (<=500 ha)
314;0.0;1988;Florentino Ameghino;Pequeñas (<=500 ha)
315;631.0;1988;General Alvarado;Pequeñas (<=500 ha)
316;339.0;1988;General Alvear;Pequeñas (<=500 ha)
317;827.0;1988;General Arenales;Pequeñas (<=500 ha)
318;302.0;1988;General Belgrano;Pequeñas (<=500 ha)
319;268.0;1988;General Guido;Pequeñas (<=500 ha)
320;355.0;1988;General Juan Madariaga;Pequeñas (<=500 ha)
321;399.0;1988;General La Madrid;Pequeñas (<=500 ha)
322;354.0;1988;General Las Heras;Pequeñas (<=500 ha)
323;122.0;1988;General Lavalle;Pequeñas (<=500 ha)
324;496.0;1988;General Paz;Pequeñas (<=500 ha)
325;617.0;1988;General Pinto;Pequeñas (<=500 ha)
326;651.0;1988;General Pueyrredón;Pequeñas (<=500 ha)
327;208.0;1988;General Rodríguez;Pequeñas (<=500 ha)
328;0.0;1988;General San Martín;Pequeñas (<=500 ha)
329;173.0;1988;General Sarmiento;Pequeñas (<=500 ha)
330;862.0;1988;General Viamonte;Pequeñas (<=500 ha)
331;886.0;1988;General Villegas;Pequeñas (<=500 ha)
