Column1;Año del censo;Partido;Cultivo;Total
285;1988;Benito Juárez;Cereales;59281
286;1988;Berazategui;Cereales;332
287;1988;Berisso;Cereales;12
288;1988;Bolívar;Cereales;14801,7
289;1988;Bragado;Cereales;50082,5
290;1988;Brandsen;Cereales;469,5
291;1988;Campana;Cereales;1441,4
292;1988;Cañuelas;Cereales;4397
293;1988;Capitán Sarmiento;Cereales;13822
294;1988;Carlos Casares;Cereales;14996,5
295;1988;Carlos Tejedor;Cereales;12977
296;1988;Carmen de Areco;Cereales;11852,5
297;1988;Castelli;Cereales;3573,5
298;1988;Chacabuco;Cereales;62076,5
299;1988;Chascomús;Cereales;8189,4
300;1988;Chivilcoy;Cereales;49351,7
301;1988;Colón;Cereales;36474,9
302;1988;Coronel de Marina Leonardo Rosales;Cereales;22204
303;1988;Coronel Dorrego;Cereales;155796,6
304;1988;Coronel Pringles;Cereales;102799,9
305;1988;Coronel Suárez;Cereales;130754,2
306;1988;Daireaux;Cereales;21729
307;1988;Dolores;Cereales;1784,5
308;1988;Ensenada;Cereales;0
309;1988;Escobar;Cereales;0
310;1988;Esteban Echeverría;Cereales;340,5
311;1988;Exaltación de la Cruz;Cereales;7047,5
312;1988;Ezeiza;Cereales;0
313;1988;Florencio Varela;Cereales;158,5
314;1988;Florentino Ameghino;Cereales;0
315;1988;General Alvarado;Cereales;39694,1
316;1988;General Alvear;Cereales;7359
317;1988;General Arenales;Cereales;65515,6
318;1988;General Belgrano;Cereales;7312,9
319;1988;General Guido;Cereales;2334,5
320;1988;General Juan Madariaga;Cereales;6072,5
321;1988;General La Madrid;Cereales;39129
322;1988;General Las Heras;Cereales;2083,5
323;1988;General Lavalle;Cereales;1064,3
324;1988;General Paz;Cereales;3082
325;1988;General Pinto;Cereales;49059,7
326;1988;General Pueyrredón;Cereales;22322
327;1988;General Rodríguez;Cereales;1787,5
328;1988;General San Martín;Cereales;0
329;1988;General Sarmiento;Cereales;5
330;1988;General Viamonte;Cereales;36215
331;1988;General Villegas;Cereales;97498,6
332;1988;Guaminí;Cereales;52351
333;1988;Hipólito Yrigoyen;Cereales;6837
334;1988;Hurlingham;Cereales;0
335;1988;Ituzaingó;Cereales;0
336;1988;José C, Paz;Cereales;0
337;1988;Junín;Cereales;69174
338;1988;La Costa;Cereales;100
339;1988;La Matanza;Cereales;433,2
340;1988;Lanús;Cereales;0
341;1988;La Plata;Cereales;674
342;1988;Laprida;Cereales;18724
343;1988;Las Flores;Cereales;8602
344;1988;Leandro N, Alem;Cereales;23797
345;1988;Lezama;Cereales;0
346;1988;Lincoln;Cereales;73099,5
347;1988;Lobería;Cereales;110676,4
348;1988;Lobos;Cereales;12324
349;1988;Lomas de Zamora;Cereales;40
350;1988;Luján;Cereales;8466,5
351;1988;Magdalena;Cereales;3856
352;1988;Maipú;Cereales;2638,5
353;1988;Malvinas Argentinas;Cereales;0
354;1988;Mar Chiquita;Cereales;9731
355;1988;Marcos Paz;Cereales;827,5
356;1988;Mercedes;Cereales;5794,8
357;1988;Merlo;Cereales;17
358;1988;Monte;Cereales;6479,5
359;1988;Monte Hermoso;Cereales;0
360;1988;Moreno;Cereales;3
361;1988;Morón;Cereales;0
362;1988;Navarro;Cereales;14329
363;1988;Necochea;Cereales;130003
364;1988;9 de julio;Cereales;41391
365;1988;Olavarría;Cereales;35816,4
366;1988;Patagones;Cereales;137350,5
367;1988;Pehuajó;Cereales;10537,5
368;1988;Pellegrini;Cereales;12987
369;1988;Pergamino;Cereales;97965,5
370;1988;Pila;Cereales;1924,5
371;1988;Pilar;Cereales;845,3
372;1988;Pinamar;Cereales;0
373;1988;Presidente Perón;Cereales;0
374;1988;Puán;Cereales;114592,6
375;1988;Punta Indio;Cereales;0
376;1988;Quilmes;Cereales;0
377;1988;Ramallo;Cereales;16498
378;1988;Rauch;Cereales;7353,5
379;1988;Rivadavia;Cereales;53144,7
380;1988;Rojas;Cereales;69030,7
381;1988;Roque Pérez;Cereales;14627
382;1988;Saavedra;Cereales;89318
383;1988;Saladillo;Cereales;19079,5
384;1988;Salliqueló;Cereales;11094
385;1988;Salto;Cereales;65213,5
386;1988;San Andrés de Giles;Cereales;15272
387;1988;San Antonio de Areco;Cereales;20117,5
388;1988;San Cayetano;Cereales;87054
389;1988;San Fernando;Cereales;0
390;1988;San Isidro;Cereales;0
391;1988;San Miguel;Cereales;0
392;1988;San Nicolás;Cereales;13409
393;1988;San Pedro;Cereales;13647,7
394;1988;San Vicente;Cereales;853
395;1988;Suipacha;Cereales;11142,5
396;1988;Tandil;Cereales;105207,5
397;1988;Tapalqué;Cereales;3982
398;1988;Tigre;Cereales;0
399;1988;Tordillo;Cereales;46
400;1988;Tornquist;Cereales;89264
401;1988;Trenque Lauquen;Cereales;19343,5
402;1988;Tres Arroyos;Cereales;181833,1
403;1988;Tres de Febrero;Cereales;10080,4
404;1988;Tres Lomas;Cereales;0
405;1988;25 de mayo;Cereales;33741
406;1988;Vicente López;Cereales;0
407;1988;Villa Gesell;Cereales;0
408;1988;Villarino;Cereales;74839
409;1988;Zárate;Cereales;8308
410;1988;Indeterminado;Cereales;988
