;Cantidad de EAPs;Año del censo;Partido;Sexo
166;0.0;2002;Coronel Dorrego;Mujeres propietarias
167;0.0;2002;Coronel Pringles;Mujeres propietarias
168;0.0;2002;Coronel Suárez;Mujeres propietarias
169;0.0;2002;Daireaux;Mujeres propietarias
170;0.0;2002;Dolores;Mujeres propietarias
171;0.0;2002;Ensenada;Mujeres propietarias
172;0.0;2002;Escobar;Mujeres propietarias
173;0.0;2002;Esteban Echeverría;Mujeres propietarias
174;0.0;2002;Exaltación de la Cruz;Mujeres propietarias
175;0.0;2002;Ezeiza;Mujeres propietarias
176;0.0;2002;Florencio Varela;Mujeres propietarias
177;0.0;2002;Florentino Ameghino;Mujeres propietarias
178;0.0;2002;General Alvarado;Mujeres propietarias
179;0.0;2002;General Alvear;Mujeres propietarias
180;0.0;2002;General Arenales;Mujeres propietarias
181;0.0;2002;General Belgrano;Mujeres propietarias
182;0.0;2002;General Guido;Mujeres propietarias
183;0.0;2002;General Juan Madariaga;Mujeres propietarias
184;0.0;2002;General La Madrid;Mujeres propietarias
185;0.0;2002;General Las Heras;Mujeres propietarias
186;0.0;2002;General Lavalle;Mujeres propietarias
187;0.0;2002;General Paz;Mujeres propietarias
188;0.0;2002;General Pinto;Mujeres propietarias
189;0.0;2002;General Pueyrredón;Mujeres propietarias
190;0.0;2002;General Rodríguez;Mujeres propietarias
191;0.0;2002;General San Martín;Mujeres propietarias
192;0.0;2002;General Viamonte;Mujeres propietarias
193;0.0;2002;General Villegas;Mujeres propietarias
194;0.0;2002;Guaminí;Mujeres propietarias
195;0.0;2002;Hipólito Yrigoyen;Mujeres propietarias
196;0.0;2002;Hurlingham;Mujeres propietarias
197;0.0;2002;Ituzaingó;Mujeres propietarias
198;0.0;2002;José C, Paz;Mujeres propietarias
199;0.0;2002;Junín;Mujeres propietarias
200;0.0;2002;La Costa;Mujeres propietarias
201;0.0;2002;La Matanza;Mujeres propietarias
202;0.0;2002;Lanús;Mujeres propietarias
203;0.0;2002;La Plata;Mujeres propietarias
