;HA de EAPs;Año del censo;Partido;Tamaño EAPs
215;18.0;2002;Malvinas Argentinas;Pequeñas (<=500 ha)
216;46446.0;2002;Mar Chiquita;Pequeñas (<=500 ha)
217;18540.0;2002;Marcos Paz;Pequeñas (<=500 ha)
218;37304.0;2002;Mercedes;Pequeñas (<=500 ha)
219;1124.0;2002;Merlo;Pequeñas (<=500 ha)
220;37317.0;2002;Monte;Pequeñas (<=500 ha)
221;220.0;2002;Monte Hermoso;Pequeñas (<=500 ha)
222;397.0;2002;Moreno;Pequeñas (<=500 ha)
223;0.0;2002;Morón;Pequeñas (<=500 ha)
224;61808.0;2002;Navarro;Pequeñas (<=500 ha)
225;70541.0;2002;Necochea;Pequeñas (<=500 ha)
226;125619.0;2002;9 de julio;Pequeñas (<=500 ha)
227;120873.0;2002;Olavarría;Pequeñas (<=500 ha)
228;92301.0;2002;Patagones;Pequeñas (<=500 ha)
229;124109.0;2002;Pehuajó;Pequeñas (<=500 ha)
230;26231.0;2002;Pellegrini;Pequeñas (<=500 ha)
231;134197.0;2002;Pergamino;Pequeñas (<=500 ha)
232;33990.0;2002;Pila;Pequeñas (<=500 ha)
233;1622.0;2002;Pilar;Pequeñas (<=500 ha)
234;0.0;2002;Pinamar;Pequeñas (<=500 ha)
235;2420.0;2002;Presidente Perón;Pequeñas (<=500 ha)
236;144759.0;2002;Puán;Pequeñas (<=500 ha)
237;25789.0;2002;Punta Indio;Pequeñas (<=500 ha)
238;37.0;2002;Quilmes;Pequeñas (<=500 ha)
239;37009.0;2002;Ramallo;Pequeñas (<=500 ha)
240;112542.0;2002;Rauch;Pequeñas (<=500 ha)
241;68880.0;2002;Rivadavia;Pequeñas (<=500 ha)
242;63832.0;2002;Rojas;Pequeñas (<=500 ha)
243;38799.0;2002;Roque Pérez;Pequeñas (<=500 ha)
244;85493.0;2002;Saavedra;Pequeñas (<=500 ha)
245;110043.0;2002;Saladillo;Pequeñas (<=500 ha)
246;52138.0;2002;Salliqueló;Pequeñas (<=500 ha)
247;30520.0;2002;Salto;Pequeñas (<=500 ha)
248;29182.0;2002;San Andrés de Giles;Pequeñas (<=500 ha)
249;15428.0;2002;San Antonio de Areco;Pequeñas (<=500 ha)
250;45401.0;2002;San Cayetano;Pequeñas (<=500 ha)
251;2834.0;2002;San Fernando;Pequeñas (<=500 ha)
252;3.0;2002;San Isidro;Pequeñas (<=500 ha)
253;0.0;2002;San Miguel;Pequeñas (<=500 ha)
254;32490.0;2002;San Nicolás;Pequeñas (<=500 ha)
255;50585.0;2002;San Pedro;Pequeñas (<=500 ha)
256;26418.0;2002;San Vicente;Pequeñas (<=500 ha)
257;36440.0;2002;Suipacha;Pequeñas (<=500 ha)
258;70534.0;2002;Tandil;Pequeñas (<=500 ha)
259;47545.0;2002;Tapalqué;Pequeñas (<=500 ha)
260;696.0;2002;Tigre;Pequeñas (<=500 ha)
261;15234.0;2002;Tordillo;Pequeñas (<=500 ha)
262;66178.0;2002;Tornquist;Pequeñas (<=500 ha)
263;59304.0;2002;Trenque Lauquen;Pequeñas (<=500 ha)
264;75917.0;2002;Tres Arroyos;Pequeñas (<=500 ha)
265;117.0;2002;Tres de Febrero;Pequeñas (<=500 ha)
266;43430.0;2002;Tres Lomas;Pequeñas (<=500 ha)
267;96735.0;2002;25 de mayo;Pequeñas (<=500 ha)
268;1.0;2002;Vicente López;Pequeñas (<=500 ha)
269;6.0;2002;Villa Gesell;Pequeñas (<=500 ha)
270;104750.0;2002;Villarino;Pequeñas (<=500 ha)
271;11384.0;2002;Zárate;Pequeñas (<=500 ha)
272;7981871.0;1988;Provincia de Buenos Aires;Pequeñas (<=500 ha)
273;161126.0;1988;Adolfo Alsina;Pequeñas (<=500 ha)
274;77695.0;1988;Adolfo Gonzales Chaves;Pequeñas (<=500 ha)
275;49360.0;1988;Alberti;Pequeñas (<=500 ha)
276;854.0;1988;Almirante Brown;Pequeñas (<=500 ha)
277;0.0;1988;Arrecifes;Pequeñas (<=500 ha)
278;161.0;1988;Avellaneda;Pequeñas (<=500 ha)
279;153016.0;1988;Ayacucho;Pequeñas (<=500 ha)
280;137868.0;1988;Azul;Pequeñas (<=500 ha)
281;45697.0;1988;Bahía Blanca;Pequeñas (<=500 ha)
282;119864.0;1988;Balcarce;Pequeñas (<=500 ha)
283;33049.0;1988;Baradero;Pequeñas (<=500 ha)
284;451.0;1988;Bartolomé Mitre;Pequeñas (<=500 ha)
285;40559.0;1988;Benito Juárez;Pequeñas (<=500 ha)
286;99091.0;1988;Berazategui;Pequeñas (<=500 ha)
287;4274.0;1988;Berisso;Pequeñas (<=500 ha)
288;1674.0;1988;Bolívar;Pequeñas (<=500 ha)
289;200049.0;1988;Bragado;Pequeñas (<=500 ha)
290;98141.0;1988;Brandsen;Pequeñas (<=500 ha)
291;50931.0;1988;Campana;Pequeñas (<=500 ha)
292;20041.0;1988;Cañuelas;Pequeñas (<=500 ha)
293;55084.0;1988;Capitán Sarmiento;Pequeñas (<=500 ha)
294;24747.0;1988;Carlos Casares;Pequeñas (<=500 ha)
295;102683.0;1988;Carlos Tejedor;Pequeñas (<=500 ha)
296;100801.0;1988;Carmen de Areco;Pequeñas (<=500 ha)
297;24217.0;1988;Castelli;Pequeñas (<=500 ha)
298;35838.0;1988;Chacabuco;Pequeñas (<=500 ha)
299;103877.0;1988;Chascomús;Pequeñas (<=500 ha)
300;131877.0;1988;Chivilcoy;Pequeñas (<=500 ha)
301;93564.0;1988;Colón;Pequeñas (<=500 ha)
302;47819.0;1988;Coronel de Marina Leonardo Rosales;Pequeñas (<=500 ha)
303;27821.0;1988;Coronel Dorrego;Pequeñas (<=500 ha)
