;Superficie promedio;Año del censo;Partido
346;360;1988;Lincoln
347;398;1988;Lobería
348;161;1988;Lobos
349;0;1988;Lomas de Zamora
350;146;1988;Luján
351;302;1988;Magdalena
352;826;1988;Maipú
353;0;1988;Malvinas Argentinas
354;644;1988;Mar Chiquita
355;90;1988;Marcos Paz
356;136;1988;Mercedes
357;14;1988;Merlo
358;391;1988;Monte
359;0;1988;Monte Hermoso
360;14;1988;Moreno
361;0;1988;Morón
362;231;1988;Navarro
363;554;1988;Necochea
364;285;1988;9 de julio
365;620;1988;Olavarría
366;1159;1988;Patagones
367;335;1988;Pehuajó
368;627;1988;Pellegrini
369;178;1988;Pergamino
370;738;1988;Pila
371;30;1988;Pilar
372;0;1988;Pinamar
373;0;1988;Presidente Perón
374;464;1988;Puán
375;0;1988;Punta Indio
376;0;1988;Quilmes
377;176;1988;Ramallo
378;404;1988;Rauch
379;537;1988;Rivadavia
380;186;1988;Rojas
381;220;1988;Roque Pérez
382;494;1988;Saavedra
383;182;1988;Saladillo
384;310;1988;Salliqueló
385;210;1988;Salto
386;173;1988;San Andrés de Giles
387;312;1988;San Antonio de Areco
388;488;1988;San Cayetano
389;141;1988;San Fernando
390;1;1988;San Isidro
391;0;1988;San Miguel
392;120;1988;San Nicolás
393;103;1988;San Pedro
394;193;1988;San Vicente
395;319;1988;Suipacha
396;436;1988;Tandil
397;702;1988;Tapalqué
398;23;1988;Tigre
399;733;1988;Tordillo
400;691;1988;Tornquist
401;619;1988;Trenque Lauquen
402;534;1988;Tres Arroyos
403;1;1988;Tres de Febrero
404;313;1988;Tres Lomas
405;348;1988;25 de mayo
406;0;1988;Vicente López
407;0;1988;Villa Gesell
408;676;1988;Villarino
409;125;1988;Zárate
410;2150;1988;Indeterminado
