;HA de EAPs;Año del censo;Partido;Tipo forrajera
243;960;2002;Roque Pérez;2.Forrajeras anuales
244;52780;2002;Saavedra;2.Forrajeras anuales
245;2439;2002;Saladillo;2.Forrajeras anuales
246;16898;2002;Salliqueló;2.Forrajeras anuales
247;1256;2002;Salto;2.Forrajeras anuales
248;1692;2002;San Andrés de Giles;2.Forrajeras anuales
249;958;2002;San Antonio de Areco;2.Forrajeras anuales
250;8978;2002;San Cayetano;2.Forrajeras anuales
251;0;2002;San Fernando;2.Forrajeras anuales
252;0;2002;San Isidro;2.Forrajeras anuales
253;0;2002;San Miguel;2.Forrajeras anuales
254;309;2002;San Nicolás;2.Forrajeras anuales
255;566;2002;San Pedro;2.Forrajeras anuales
256;1193;2002;San Vicente;2.Forrajeras anuales
257;3146;2002;Suipacha;2.Forrajeras anuales
258;22179;2002;Tandil;2.Forrajeras anuales
259;1590;2002;Tapalqué;2.Forrajeras anuales
260;0;2002;Tigre;2.Forrajeras anuales
261;220;2002;Tordillo;2.Forrajeras anuales
262;62214;2002;Tornquist;2.Forrajeras anuales
263;47740;2002;Trenque Lauquen;2.Forrajeras anuales
264;23982;2002;Tres Arroyos;2.Forrajeras anuales
265;0;2002;Tres de Febrero;2.Forrajeras anuales
266;14421;2002;Tres Lomas;2.Forrajeras anuales
267;5971;2002;25 de mayo;2.Forrajeras anuales
268;0;2002;Vicente López;2.Forrajeras anuales
269;0;2002;Villa Gesell;2.Forrajeras anuales
270;77872;2002;Villarino;2.Forrajeras anuales
271;418;2002;Zárate;2.Forrajeras anuales
272;1829899;1988;Provincia de Buenos Aires;2.Forrajeras anuales
273;102545;1988;Adolfo Alsina;2.Forrajeras anuales
274;20314;1988;Adolfo Gonzales Chaves;2.Forrajeras anuales
275;2378;1988;Alberti;2.Forrajeras anuales
276;22;1988;Almirante Brown;2.Forrajeras anuales
277;0;1988;Arrecifes;2.Forrajeras anuales
278;0;1988;Avellaneda;2.Forrajeras anuales
279;34007;1988;Ayacucho;2.Forrajeras anuales
280;28725;1988;Azul;2.Forrajeras anuales
281;38901;1988;Bahía Blanca;2.Forrajeras anuales
282;26620;1988;Balcarce;2.Forrajeras anuales
283;2483;1988;Baradero;2.Forrajeras anuales
284;2296;1988;Bartolomé Mitre;2.Forrajeras anuales
285;30276;1988;Benito Juárez;2.Forrajeras anuales
286;130;1988;Berazategui;2.Forrajeras anuales
287;3;1988;Berisso;2.Forrajeras anuales
288;11477;1988;Bolívar;2.Forrajeras anuales
289;10173;1988;Bragado;2.Forrajeras anuales
290;8074;1988;Brandsen;2.Forrajeras anuales
291;1014;1988;Campana;2.Forrajeras anuales
292;5955;1988;Cañuelas;2.Forrajeras anuales
293;2120;1988;Capitán Sarmiento;2.Forrajeras anuales
294;11206;1988;Carlos Casares;2.Forrajeras anuales
295;12228;1988;Carlos Tejedor;2.Forrajeras anuales
296;4701;1988;Carmen de Areco;2.Forrajeras anuales
297;7349;1988;Castelli;2.Forrajeras anuales
298;6170;1988;Chacabuco;2.Forrajeras anuales
299;12834;1988;Chascomús;2.Forrajeras anuales
300;7597;1988;Chivilcoy;2.Forrajeras anuales
301;1190;1988;Colón;2.Forrajeras anuales
302;18599;1988;Coronel de Marina Leonardo Rosales;2.Forrajeras anuales
303;55340;1988;Coronel Dorrego;2.Forrajeras anuales
304;39763;1988;Coronel Pringles;2.Forrajeras anuales
305;48182;1988;Coronel Suárez;2.Forrajeras anuales
306;19963;1988;Daireaux;2.Forrajeras anuales
307;1427;1988;Dolores;2.Forrajeras anuales
308;0;1988;Ensenada;2.Forrajeras anuales
309;21;1988;Escobar;2.Forrajeras anuales
310;442;1988;Esteban Echeverría;2.Forrajeras anuales
311;3203;1988;Exaltación de la Cruz;2.Forrajeras anuales
312;0;1988;Ezeiza;2.Forrajeras anuales
313;308;1988;Florencio Varela;2.Forrajeras anuales
314;0;1988;Florentino Ameghino;2.Forrajeras anuales
315;10984;1988;General Alvarado;2.Forrajeras anuales
316;4267;1988;General Alvear;2.Forrajeras anuales
317;3932;1988;General Arenales;2.Forrajeras anuales
318;4285;1988;General Belgrano;2.Forrajeras anuales
319;3177;1988;General Guido;2.Forrajeras anuales
320;7100;1988;General Juan Madariaga;2.Forrajeras anuales
321;18385;1988;General La Madrid;2.Forrajeras anuales
322;2852;1988;General Las Heras;2.Forrajeras anuales
323;2552;1988;General Lavalle;2.Forrajeras anuales
324;5390;1988;General Paz;2.Forrajeras anuales
325;41653;1988;General Pinto;2.Forrajeras anuales
326;9826;1988;General Pueyrredón;2.Forrajeras anuales
327;1660;1988;General Rodríguez;2.Forrajeras anuales
328;0;1988;General San Martín;2.Forrajeras anuales
329;2;1988;General Sarmiento;2.Forrajeras anuales
330;9411;1988;General Viamonte;2.Forrajeras anuales
331;60477;1988;General Villegas;2.Forrajeras anuales
332;47858;1988;Guaminí;2.Forrajeras anuales
333;6785;1988;Hipólito Yrigoyen;2.Forrajeras anuales
334;0;1988;Hurlingham;2.Forrajeras anuales
335;0;1988;Ituzaingó;2.Forrajeras anuales
336;0;1988;José C, Paz;2.Forrajeras anuales
337;10279;1988;Junín;2.Forrajeras anuales
338;3;1988;La Costa;2.Forrajeras anuales
339;287;1988;La Matanza;2.Forrajeras anuales
340;0;1988;Lanús;2.Forrajeras anuales
341;2653;1988;La Plata;2.Forrajeras anuales
342;20061;1988;Laprida;2.Forrajeras anuales
343;3880;1988;Las Flores;2.Forrajeras anuales
344;21586;1988;Leandro N, Alem;2.Forrajeras anuales
345;0;1988;Lezama;2.Forrajeras anuales
346;37565;1988;Lincoln;2.Forrajeras anuales
347;37556;1988;Lobería;2.Forrajeras anuales
348;7209;1988;Lobos;2.Forrajeras anuales
