;HA de EAPs;Año del censo;Partido;Tipo de Oleaginosa
202;0;2002;Lanús;1.Soja
203;505;2002;La Plata;1.Soja
204;2896;2002;Laprida;1.Soja
205;5031;2002;Las Flores;1.Soja
206;45673;2002;Leandro N, Alem;1.Soja
207;0;2002;Lezama;1.Soja
208;98159;2002;Lincoln;1.Soja
209;9365;2002;Lobería;1.Soja
210;16422;2002;Lobos;1.Soja
211;0;2002;Lomas de Zamora;1.Soja
212;4282;2002;Luján;1.Soja
213;354;2002;Magdalena;1.Soja
214;556;2002;Maipú;1.Soja
215;0;2002;Malvinas Argentinas;1.Soja
216;83;2002;Mar Chiquita;1.Soja
217;2269;2002;Marcos Paz;1.Soja
218;10485;2002;Mercedes;1.Soja
219;221;2002;Merlo;1.Soja
220;7407;2002;Monte;1.Soja
221;0;2002;Monte Hermoso;1.Soja
222;0;2002;Moreno;1.Soja
223;0;2002;Morón;1.Soja
224;16714;2002;Navarro;1.Soja
225;10284;2002;Necochea;1.Soja
226;60942;2002;9 de julio;1.Soja
227;31683;2002;Olavarría;1.Soja
228;50;2002;Patagones;1.Soja
229;84316;2002;Pehuajó;1.Soja
230;9365;2002;Pellegrini;1.Soja
231;173810;2002;Pergamino;1.Soja
232;1446;2002;Pila;1.Soja
233;95;2002;Pilar;1.Soja
234;0;2002;Pinamar;1.Soja
235;675;2002;Presidente Perón;1.Soja
236;1941;2002;Puán;1.Soja
237;0;2002;Punta Indio;1.Soja
238;0;2002;Quilmes;1.Soja
239;59387;2002;Ramallo;1.Soja
240;394;2002;Rauch;1.Soja
241;58316;2002;Rivadavia;1.Soja
242;92846;2002;Rojas;1.Soja
243;13720;2002;Roque Pérez;1.Soja
244;8638;2002;Saavedra;1.Soja
245;49259;2002;Saladillo;1.Soja
246;1280;2002;Salliqueló;1.Soja
247;81508;2002;Salto;1.Soja
248;37593;2002;San Andrés de Giles;1.Soja
249;38808;2002;San Antonio de Areco;1.Soja
250;5969;2002;San Cayetano;1.Soja
251;0;2002;San Fernando;1.Soja
252;0;2002;San Isidro;1.Soja
253;0;2002;San Miguel;1.Soja
254;33622;2002;San Nicolás;1.Soja
255;52497;2002;San Pedro;1.Soja
256;0;2002;San Vicente;1.Soja
257;11597;2002;Suipacha;1.Soja
258;53234;2002;Tandil;1.Soja
259;1184;2002;Tapalqué;1.Soja
260;0;2002;Tigre;1.Soja
261;55;2002;Tordillo;1.Soja
262;1669;2002;Tornquist;1.Soja
263;50462;2002;Trenque Lauquen;1.Soja
264;7342;2002;Tres Arroyos;1.Soja
265;0;2002;Tres de Febrero;1.Soja
266;2888;2002;Tres Lomas;1.Soja
267;63835;2002;25 de mayo;1.Soja
268;0;2002;Vicente López;1.Soja
269;0;2002;Villa Gesell;1.Soja
270;205;2002;Villarino;1.Soja
271;12617;2002;Zárate;1.Soja
272;1041463;1988;Provincia de Buenos Aires;1.Soja
273;102;1988;Adolfo Alsina;1.Soja
274;177;1988;Adolfo Gonzales Chaves;1.Soja
275;17466;1988;Alberti;1.Soja
276;0;1988;Almirante Brown;1.Soja
277;0;1988;Arrecifes;1.Soja
278;0;1988;Avellaneda;1.Soja
279;120;1988;Ayacucho;1.Soja
280;4991;1988;Azul;1.Soja
281;0;1988;Bahía Blanca;1.Soja
282;94;1988;Balcarce;1.Soja
283;20413;1988;Baradero;1.Soja
284;51335;1988;Bartolomé Mitre;1.Soja
285;854;1988;Benito Juárez;1.Soja
286;0;1988;Berazategui;1.Soja
287;0;1988;Berisso;1.Soja
288;0;1988;Bolívar;1.Soja
289;33786;1988;Bragado;1.Soja
290;0;1988;Brandsen;1.Soja
291;1046;1988;Campana;1.Soja
292;25;1988;Cañuelas;1.Soja
293;13575;1988;Capitán Sarmiento;1.Soja
294;3686;1988;Carlos Casares;1.Soja
295;1487;1988;Carlos Tejedor;1.Soja
296;12109;1988;Carmen de Areco;1.Soja
297;0;1988;Castelli;1.Soja
298;51460;1988;Chacabuco;1.Soja
299;276;1988;Chascomús;1.Soja
300;32799;1988;Chivilcoy;1.Soja
301;32823;1988;Colón;1.Soja
302;0;1988;Coronel de Marina Leonardo Rosales;1.Soja
303;415;1988;Coronel Dorrego;1.Soja
304;116;1988;Coronel Pringles;1.Soja
305;785;1988;Coronel Suárez;1.Soja
306;90;1988;Daireaux;1.Soja
307;100;1988;Dolores;1.Soja
308;0;1988;Ensenada;1.Soja
309;160;1988;Escobar;1.Soja
310;0;1988;Esteban Echeverría;1.Soja
311;4444;1988;Exaltación de la Cruz;1.Soja
312;0;1988;Ezeiza;1.Soja
313;0;1988;Florencio Varela;1.Soja
314;0;1988;Florentino Ameghino;1.Soja
315;62;1988;General Alvarado;1.Soja
316;172;1988;General Alvear;1.Soja
317;53584;1988;General Arenales;1.Soja
318;704;1988;General Belgrano;1.Soja
319;0;1988;General Guido;1.Soja
320;0;1988;General Juan Madariaga;1.Soja
321;40;1988;General La Madrid;1.Soja
322;340;1988;General Las Heras;1.Soja
323;0;1988;General Lavalle;1.Soja
324;85;1988;General Paz;1.Soja
325;24166;1988;General Pinto;1.Soja
326;40;1988;General Pueyrredón;1.Soja
327;245;1988;General Rodríguez;1.Soja
328;0;1988;General San Martín;1.Soja
329;0;1988;General Sarmiento;1.Soja
330;27888;1988;General Viamonte;1.Soja
331;39091;1988;General Villegas;1.Soja
332;25;1988;Guaminí;1.Soja
333;10;1988;Hipólito Yrigoyen;1.Soja
334;0;1988;Hurlingham;1.Soja
335;0;1988;Ituzaingó;1.Soja
336;0;1988;José C, Paz;1.Soja
337;61461;1988;Junín;1.Soja
338;0;1988;La Costa;1.Soja
339;50;1988;La Matanza;1.Soja
340;0;1988;Lanús;1.Soja
341;185;1988;La Plata;1.Soja
342;25;1988;Laprida;1.Soja
343;220;1988;Las Flores;1.Soja
344;14281;1988;Leandro N, Alem;1.Soja
345;0;1988;Lezama;1.Soja
346;31599;1988;Lincoln;1.Soja
347;664;1988;Lobería;1.Soja
348;1543;1988;Lobos;1.Soja
349;0;1988;Lomas de Zamora;1.Soja
350;2476;1988;Luján;1.Soja
351;257;1988;Magdalena;1.Soja
352;0;1988;Maipú;1.Soja
353;0;1988;Malvinas Argentinas;1.Soja
354;0;1988;Mar Chiquita;1.Soja
355;45;1988;Marcos Paz;1.Soja
356;3511;1988;Mercedes;1.Soja
357;0;1988;Merlo;1.Soja
358;563;1988;Monte;1.Soja
359;0;1988;Monte Hermoso;1.Soja
360;0;1988;Moreno;1.Soja
361;0;1988;Morón;1.Soja
362;5626;1988;Navarro;1.Soja
363;842;1988;Necochea;1.Soja
364;23305;1988;9 de julio;1.Soja
365;590;1988;Olavarría;1.Soja
366;0;1988;Patagones;1.Soja
367;1181;1988;Pehuajó;1.Soja
368;193;1988;Pellegrini;1.Soja
369;127416;1988;Pergamino;1.Soja
370;0;1988;Pila;1.Soja
371;419;1988;Pilar;1.Soja
372;0;1988;Pinamar;1.Soja
373;0;1988;Presidente Perón;1.Soja
374;27;1988;Puán;1.Soja
375;0;1988;Punta Indio;1.Soja
376;0;1988;Quilmes;1.Soja
377;51930;1988;Ramallo;1.Soja
378;0;1988;Rauch;1.Soja
379;5680;1988;Rivadavia;1.Soja
380;62421;1988;Rojas;1.Soja
381;1013;1988;Roque Pérez;1.Soja
382;328;1988;Saavedra;1.Soja
383;2810;1988;Saladillo;1.Soja
384;0;1988;Salliqueló;1.Soja
385;72586;1988;Salto;1.Soja
386;14033;1988;San Andrés de Giles;1.Soja
387;18150;1988;San Antonio de Areco;1.Soja
388;412;1988;San Cayetano;1.Soja
389;0;1988;San Fernando;1.Soja
390;0;1988;San Isidro;1.Soja
391;0;1988;San Miguel;1.Soja
392;31529;1988;San Nicolás;1.Soja
393;42713;1988;San Pedro;1.Soja
394;110;1988;San Vicente;1.Soja
395;6111;1988;Suipacha;1.Soja
396;4450;1988;Tandil;1.Soja
397;0;1988;Tapalqué;1.Soja
398;0;1988;Tigre;1.Soja
399;0;1988;Tordillo;1.Soja
400;264;1988;Tornquist;1.Soja
401;820;1988;Trenque Lauquen;1.Soja
402;225;1988;Tres Arroyos;1.Soja
403;0;1988;Tres de Febrero;1.Soja
404;61;1988;Tres Lomas;1.Soja
405;10066;1988;25 de mayo;1.Soja
406;0;1988;Vicente López;1.Soja
407;0;1988;Villa Gesell;1.Soja
408;4;1988;Villarino;1.Soja
409;8086;1988;Zárate;1.Soja
410;0;1988;Indeterminado;1.Soja
0;611437;2018;Provincia de Buenos Aires;2.Otras oleaginosas
1;23813;2018;Adolfo Alsina;2.Otras oleaginosas
2;3610;2018;Adolfo Gonzales Chaves;2.Otras oleaginosas
3;0;2018;Alberti;2.Otras oleaginosas
4;0;2018;Almirante Brown;2.Otras oleaginosas
5;439;2018;Arrecifes;2.Otras oleaginosas
6;0;2018;Avellaneda;2.Otras oleaginosas
7;14734;2018;Ayacucho;2.Otras oleaginosas
8;11010;2018;Azul;2.Otras oleaginosas
9;0;2018;Bahía Blanca;2.Otras oleaginosas
10;26973;2018;Balcarce;2.Otras oleaginosas
11;1941;2018;Baradero;2.Otras oleaginosas
12;10943;2018;Benito Juárez;2.Otras oleaginosas
13;0;2018;Berazategui;2.Otras oleaginosas
14;0;2018;Berisso;2.Otras oleaginosas
15;12345;2018;Bolívar;2.Otras oleaginosas
16;0;2018;Bragado;2.Otras oleaginosas
17;0;2018;Brandsen;2.Otras oleaginosas
18;0;2018;Campana;2.Otras oleaginosas
19;0;2018;Cañuelas;2.Otras oleaginosas
20;0;2018;Capitán Sarmiento;2.Otras oleaginosas
21;1996;2018;Carlos Casares;2.Otras oleaginosas
22;3735;2018;Carlos Tejedor;2.Otras oleaginosas
23;0;2018;Carmen de Areco;2.Otras oleaginosas
24;1477;2018;Castelli;2.Otras oleaginosas
25;97;2018;Chacabuco;2.Otras oleaginosas
26;1559;2018;Chascomús;2.Otras oleaginosas
27;25;2018;Chivilcoy;2.Otras oleaginosas
28;0;2018;Colón;2.Otras oleaginosas
29;0;2018;Coronel de Marina Leonardo Rosales;2.Otras oleaginosas
30;18114;2018;Coronel Dorrego;2.Otras oleaginosas
31;15029;2018;Coronel Pringles;2.Otras oleaginosas
32;26092;2018;Coronel Suárez;2.Otras oleaginosas
33;6705;2018;Daireaux;2.Otras oleaginosas
34;0;2018;Dolores;2.Otras oleaginosas
35;0;2018;Ensenada;2.Otras oleaginosas
