LOCALIDAD;TIPO DE ORDENANZA;FECHA;ORDENANZA;LINK;Crea un organismo municipal de certificacion agroecologica;Crea un registro de productores agroecologicos;Posee promocion de cursos, talleres y capacitaciones;Asesoramiento y ayuda;Bonificaciónes las tasas municipales de red vial/ exenciones impositivas.;Ser priorizado en la compra estatal local.;Que el Municipio promueva y difunda en medios oficiales sus producciones;Que se favorezcan sus procesos de organización y participación en ferias y mercados locales.;Facilitar , promover , articular , tramitar acciones, dialigo , certificaciones con la provincia y /o la nacion r..;Una participación prioritaria en eventos y exposiciones dentro del territorio Municipal- de carácter institucional, cultural, etc;Acceso a tierra / facilidades para terrenos;Facilitar acceso a creditos;Comprende producción ganadera;EL MUNICIPIO FORMA PARTE DE LA RENAMA;Puntaje - agroeco;Puntaje - agroeco NORMALIZADO
Maipú;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Malvinas Argentinas;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Mar Chiquita;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Marcos Paz;FOMENTO A LA AGROECOLOGÍA;19/12/2018;N°80/18;https://drive.google.com/file/d/1hox_I5wPfSDfeSFhCN9aMt6zAQImlZ49/view?usp=sharing;NO;NO;SI;NO;NO;SI;SI;SI;NO;NO;NO;NO;SI;;5;0.3333333333
Mercedes;FOMENTO A LA AGROECOLOGÍA;22/9/2019;N°8241/19;https://drive.google.com/file/d/1K-AZcRKCSk-55mAKisvBA4X7Wjcj8E25/view?usp=sharing;SI;SI;NO;SI;SI(hasta 80%);SI;SI;SI;NO;NO;NO;SI;SI;;8;0.5333333333
Merlo;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Monte;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Monte Hermoso;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Moreno;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Morón;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Navarro;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Necochea;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Nueve de Julio;FOMENTO A LA AGROECOLOGÍA;11/4/2019;N°6087/19;https://drive.google.com/file/d/18IxYI-t8VFr4gw9tViKGFk5EaiWTZKXz/view;SI;SI;NO;SI;NO;NO;NO;NO;NO;NO;NO;NO;NO;;3;0.2
Olavarría;SIN ORDENANZA;;;;;;;;;;;;;;;;;SI;5;0.3333333333
Patagones;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Pehuajó;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
Pellegrini;SIN ORDENANZA;;;;;;;;;;;;;;;;;;0;0
