Municipios;Ordenanza;Fecha;Link - Repositorio;Zona Urbana - Exclusion;Zona Urbana - Amortiguamiento;Zona Urbana - Exclusion Aerea;Poblados Rurales - Exclusion;Poblados Rurales - Amortiguamiento;Poblados Rurales - Exclusion Aerea;Puntaje
Florencio Varela;;;;;;;;;;
Florentino Ameghino;N°736;;https://drive.google.com/file/d/1qsh8jSLDiDJ3ZNThZbMMH2edQcSH7jjY/view;0;100;1500;0;0;0;0.18
General Alvarado;N°217/09;4/11/2009;https://drive.google.com/file/d/14qUgyRVPtmtKG8sRou5G8XQPBbgbBeI4/view;200;0;0;0;0;0;0.03
General Alvear;N°1669/11;5/12/2011;https://drive.google.com/file/d/1beH_9iDpwMFxkZBtsGVRvyM45PsBbe04/view;100;0;5000;0;0;0;0.57
General Arenales;;;;;;;;;;
General Belgrano;;;;;;;;;;0.00
General Guido;;;;;;;;;;
General La Madrid;;;;;;;;;;
General Las Heras;N°69/10;6/10/2010;https://drive.google.com/file/d/1D0VJXPCNYY0kLalISYOPRTBO2qTmLHPi/view;2000;0;1;0;0;0;0.89
General Lavalle;;;;;;;;;;
General Madariaga;N°1732/07;13/9/2007;https://drive.google.com/file/d/19HTLfPZqHZIKvlOG1zKwfAFMtY-7xGMp/view;500;0;2000;;;;0.28
General Paz;;;;;;;;;;
General Pinto;N°4115/14;27/5/2014;https://drive.google.com/file/d/1P2V2GV8GGhv65zJiK5oUPRplhej65Axt/view;100;500;2000;0;500;0;0.29
General Pueyrredón;N°21296/13;23/5/2013;https://drive.google.com/file/d/1e9SyVgjmTLKnuf-DjxXBFn3xsRp23PNj/view;1000;100;0;0;0;0;0.12
General Rodríguez;;;;;;;;;;
General San Martín;;;;;;;;;;
General Viamonte;N°3150/15;12/11/2015;https://drive.google.com/file/d/1d8Os0_U4O9Dr4Uf82GGwv-VQ6CyOTqcw/view;300;2000;2000;0;0;0;0.37
General Villegas;N°6124/20;16/7/2020;https://drive.google.com/file/d/1Uam06tg77yMTlR6FiadjglRLcJOlE-V3/view;40;0;;;;;0.01
Guaminí;N°13/16;13/6/2016;https://drive.google.com/file/d/1nnnP_yzqfSVhcSLL7TIdh5icY1Vbh8U9/view;300;700;2000;100;100;500;0.37
Hipólito Yrigoyen;N°96/13;2013;https://www.crea.org.ar/mapalegal/aplicaciones/buenos-aires#contenedorMapa;100;0;2000;0;0;0;0.24
Hurlingham;;;;;;;;;;
Ituzaingó;;;;0;0;0;0;0;0;0.00
José C. Paz;;;;;;;;;;
Junín;N°6425/13;5/11/2013;https://drive.google.com/file/d/12wdG2HYReGferKTNAVpWp9mkUazQci2A/view;0;500;1;0;0;0;0.70
La Costa;;;;;;;;;;
La Matanza;S/N;28/12/2022;https://drive.google.com/file/d/11ZXfYgjeiPoA9ShRbTbYgok3_TPPKShu/view;1100;0;5000;1100;0;0;0.80
La Plata;N°7541/90;13/8/1990;https://drive.google.com/file/d/1GbD4CT76AifEIGKkQaL1ytuj62Z6vvT5/view;300;0;0;0;0;0;0.04
Lanús;;;;;;;;;;
Laprida;N°1824/12;12/12/2012;https://drive.google.com/file/d/1oEJlXe8ZT27kWK07vl-Pa_jAjroAIE-H/view;0;0;2000;0;0;0;0.23
Las Flores;N°2402/10;21/9/2010;https://drive.google.com/file/d/1aQZMmdk4neFSGiaUagga5i8ZW8i6ow6l/view;500;0;2000;0;0;0;0.28
Leandro N. Alem;N°1166/06;29/11/2006;https://drive.google.com/file/d/1lTleYxWhgnTyYf7v4b6vMkLSnN9gpMh1/view;500;1000;2000;500;1000;0;0.45
Lezama;;;;;;2000;;;;
Lincoln;N°2535/19;6/12/2019;https://drive.google.com/file/d/1u0oTDbY8JfWNYP_A9Xsh69t_GxA-4Vqr/view;500;500;1500;0;0;0;0.25
Lobería;;;;;;;;;;
Lobos;;;;;;;;;;
Lomas de Zamora;N°12923/10;12/5/2010;https://drive.google.com/file/d/1EoWZdsAAssix_pP5RJCVci44oyN8OYu2/view;0;0;0;0;0;0;0.00
Luján;N°5953/11;14/7/2011;https://drive.google.com/file/d/1-GJTiepjXQFrwAcDOlaUlXw3ruPg6ZFi/view;500;0;1;500;0;0;0.78
Magdalena;;;;;;;;;;
Maipú;;;;;;;;;;
Malvinas Argentinas;;;;;;;;;;
Mar Chiquita;19/20;;https://drive.google.com/file/d/1SVmW-3-_LIpqGGVsO2Ud4o3vmxoja5mo/view;150;500;2000;50;500;300;0.34
Marcos Paz;N°25/19;22/8/2019;https://drive.google.com/file/d/1PEj_uEQhvdP58QNH4YNankS4clMnU9y-/view;0;0;1;300;0;0;0.70
Mercedes;N°6998/11;12/9/2011;https://drive.google.com/file/d/1lLph9LdRx2bmzd-nailXut27soCboXoN/view;500;0;2000;100;0;300;0.33
Merlo;;;;;;;;;;
Monte;N°4250/19;28/11/2019;https://drive.google.com/file/d/1LTtPQjlYB790_lwU7NzFBU-NkK1eVUEq/view;100;500;2000;50;500;0;0.30
Monte Hermoso;;;;;;;;;;
Moreno;N°5241/12;28/11/2012;https://drive.google.com/file/d/1FRud-Erb444S_ov8eBwdTjr8yyYkxoHe/view;10;0;1;300;500;0;0.73
Morón;11990/09;2009;https://drive.google.com/file/d/16Ufq-FJXgJkxOGX53GXSOoSoJRZglYFf/view;0;0;0;0;0;0;0.00
Navarro;N°1281/11;27/12/2011;https://drive.google.com/file/d/1jnvOVpq4rscioDEcbXjAXXO3asy9HAZQ/view;200;300;1;0;0;0;0.71
Necochea;N°7069/10;28/12/2010;https://drive.google.com/file/d/1Ni7YKi56J5SkkVPH_H-fSBpHol-gZH4y/view;0;0;0;0;0;0;0.00
Nueve de Julio;N°4821/09;4/11/2009;https://drive.google.com/file/d/1lJ7om0OXeziFcMHgEmeCD-UkUvtwFjuy/view y https://drive.google.com/file/d/1BS3XjGmw4P9xt8riXKT9TC0Hi3MgbUC2/view;200;0;2000;200;0;2000;0.49
Olavarría;N°3651/14;15/5/2014;https://drive.google.com/file/d/1-wb4l4SPcHqV0HCzzKklQFxm0XC5jeCH/view;500;500;2000;0;0;0;0.31
Patagones;;;;;;2000;;;;
Pehuajó;82;;https://drive.google.com/file/d/1URG7nngz1LyV8nmsgO-biA5D2qff2dqk/view;1;0;2000;0;0;0;0.23
Pellegrini;Nº 1185/2013;2013;;1;1;2000;1;1;0;0.23
Pergamino;N°8126/14;10/12/2014;https://drive.google.com/file/d/1RdyKAlqzt6n6E5zB98gXbUhYoW9WtLLj/view;100;500;2000;0;0;0;0.26
Pila;;;;;;;;;;0.00
Pilar;;;;;;;;;;
Pinamar;;;;;;;;;;
Presidente Perón;N°708/10;26/10/2010;https://drive.google.com/file/d/116iXokAynUH32mPk8puICokxygJmxvIj/view;500;0;1;0;0;0;0.72
Puán;N°4439/08;28/5/2008;https://drive.google.com/file/d/10_CuaTtFScVepxkIttdzzgsnChiMiRYE/view;300;0;2000;0;0;1000;0.37
Punta Indio;;;;;;;;;;
Quilmes;;;;;;;;;;
Ramallo;N°5133/15;31/3/2015;https://drive.google.com/file/d/1ZPHlvF8poTrgTACTeYNIohQcfHlyYXTE/view;300;0;1;100;0;0;0.71
Rauch;N°850/12;;;500;0;2000;500;0;0;0.34
Rivadavia;N°3371/11;3/11/2011;https://drive.google.com/file/d/1u1XlDlYxTSQexRwvDpe7NnrIC6x6fmbO/view;100;0;200;100;0;200;0.07
Rojas;;;;;;;;;;
Roque Pérez;N°2192/18;17/8/2018;https://drive.google.com/file/d/1DqGzOrDfW3M4lTNY7T-gzdiGw3zy7f4z/view;300;700;3000;0;100;500;0.47
Saavedra - Pigüé;N°6092/12;31/10/2012;https://drive.google.com/file/d/1tp68pz9sbU0wHBti0VBP4BCGDdWsd7md/view;150;500;2000;0;0;0;0.27
Saladillo;N°77/08;2/12/2008;https://drive.google.com/file/d/1VtMszOmrbH_XGnpTukInvzJ5kh6paK-B/view;500;0;5000;0;0;0;0.61
Salliqueló;N°1584/14;27/11/2014;https://drive.google.com/file/d/1W5W5GpE1obVc1zD40EgR3e8JocndLY6X/view;1;1;0;1;1;0;0.01
Salto;N°86/14;2014;https://drive.google.com/file/d/1aqnY9b-ynt16HZHQbk3Z6HtO4YndbIG0/view;100;400;2000;0;0;0;0.26
San Andrés de Giles;N°2047/17;8/11/2017;https://drive.google.com/file/d/12p5MjYWsqwIyTGmFtivnEraxCXX6w02D/view;0;100;2000;0;100;500;0.29
San Antonio de Areco;N°3919/14;15/9/2014;https://drive.google.com/file/d/1PwlwzTOo_iNFGC3xZbo0lH1SPUKDFHCn/view;100;2000;3000;100;2000;3000;0.91
San Cayetano;N°992/00;1/11/2000;https://drive.google.com/file/d/1P3WcEU_UJYmHC1YkAi79m2bHEvAc3JoG/view;0;0;2000;0;0;0;0.23
San Fernando;;;;;;;;;;
San Isidro;;;;;;;;;;
San Miguel;;;;;;;;;;
San Nicolás;N°7044/07;2007;https://drive.google.com/file/d/1oD5aH5-VD_5_uIjHd-7g0dgrsEvaIzyN/view;50;150;0;0;0;0;0.02
San Pedro;N°5579/06;28/7/2006;https://drive.google.com/file/d/1QsYmi06UR98oB9hwSX182ciDgW59lz5e/view;300;0;2000;300;0;1000;0.40
San Vicente;;;;;;;;;;
Suipacha;;;;;;;;;;0.00
Tandil;N°17404/21;6/12/2021;https://drive.google.com/file/d/1X2AcXSB-JRMSbttPxtpworMLNtpyjWDf/view;60;500;2000;60;300;2000;0.50
Tapalqué;;;;;;;;;;
Tigre;;;;;;;;;;
Tordillo;;;;;;;;;;
Tornquist;N°2725/15;8/1/2015;https://drive.google.com/file/d/15-k7suW5BCJC5a8wXNbqjMmh2UPE0kgh/view?usp=drive_open;200;200;2000;200;200;0;0.29
Trenque Lauquen;N°3965/13;13/10/2013;https://drive.google.com/file/d/16ioI6lX6hOxuqTS0jps5zH2n_VHzwIHw/view;300;500;300;0;100;500;0.16
Tres Arroyos;N°7084/17;30/11/2017;https://drive.google.com/file/d/1Jxb1fLN-t_uuPCD9x4-Yo-oTsMr2_1ZT/view;0;0;0;0;0;0;0.00
Tres de Febrero;;;;;;;;;;
Tres Lomas;N°1246/18;29/11/2018;https://drive.google.com/file/d/1ckxQfkVTbwLNSR7pszRdnKWhPhDOR-Qk/view;300;700;1500;0;0;0;0.24
Veinticinco de Mayo;N°3380/18;12/11/2018;https://drive.google.com/file/d/1fkicKDzXFmvPQvvZUw9PoOORIhCwSfl2/view;1;100;150;60;0;150;0.05
Vicente López;;;;0;0;0;0;0;0;0.00
Villa Gesell;;;;;;;;;;
Villarino;;;;;;;;;;
Zárate;;;;;;;;;;
