Municipios;Ordenanza;Fecha;Link;Exclusión en M;Amortiguamiento en M;Exclusión aérea en M;Obligatoriedad de notificación;Puntaje
Las Flores;N°2402/10;21/9/2010;https://drive.google.com/file/d/1aQZMmdk4neFSGiaUagga5i8ZW8i6ow6l/view;250;0;0;SI;0.04
Leandro N. Alem;N°1166/06;29/11/2006;https://drive.google.com/file/d/1lTleYxWhgnTyYf7v4b6vMkLSnN9gpMh1/view;0;0;0;0;0.01
Lezama;;;;;;;;
Lincoln;N°2535/19;6/12/2019;https://drive.google.com/file/d/1u0oTDbY8JfWNYP_A9Xsh69t_GxA-4Vqr/view;300;500;500;SI;0.15
Lobería;;;;;;;;
Lobos;;;;;;;;
Lomas de Zamora;N°12923/10;12/5/2010;https://drive.google.com/file/d/1EoWZdsAAssix_pP5RJCVci44oyN8OYu2/view;0;0;0;NO;0.01
Luján;N°5953/11;14/7/2011;https://drive.google.com/file/d/1-GJTiepjXQFrwAcDOlaUlXw3ruPg6ZFi/view;100;300;1;SI;0.87
Magdalena;;;;;;;;
Maipú;;;;;;;;
Malvinas Argentinas;;;;;;;;
Mar Chiquita;19/20;;https://drive.google.com/file/d/1SVmW-3-_LIpqGGVsO2Ud4o3vmxoja5mo/view;200;500;300;SI;0.11
Marcos Paz;N°25/19;22/8/2019;https://drive.google.com/file/d/1PEj_uEQhvdP58QNH4YNankS4clMnU9y-/view;1000;0;1;NO;0.56
Mercedes;N°6998/11;12/9/2011;https://drive.google.com/file/d/1lLph9LdRx2bmzd-nailXut27soCboXoN/view;100;0;300;SI;0.06
Merlo;;;;;;;;
Monte;N°4250/19;28/11/2019;https://drive.google.com/file/d/1LTtPQjlYB790_lwU7NzFBU-NkK1eVUEq/view;0;0;0;NO;0.01
Monte Hermoso;;;;;;;;
Moreno;N°5241/12;28/11/2012;https://drive.google.com/file/d/1FRud-Erb444S_ov8eBwdTjr8yyYkxoHe/view;300;500;5000;SI;0.77
Morón;11990/09;2009;https://drive.google.com/file/d/16Ufq-FJXgJkxOGX53GXSOoSoJRZglYFf/view;0;0;0;NO;0.01
Navarro;N°1281/11;27/12/2011;https://drive.google.com/file/d/1jnvOVpq4rscioDEcbXjAXXO3asy9HAZQ/view;100;200;1;SI;0.86
Necochea;N°7069/10;28/12/2010;https://drive.google.com/file/d/1Ni7YKi56J5SkkVPH_H-fSBpHol-gZH4y/view;0;0;0;0;0.01
Nueve de Julio;N°4821/09;4/11/2009;https://drive.google.com/file/d/1lJ7om0OXeziFcMHgEmeCD-UkUvtwFjuy/view y https://drive.google.com/file/d/1BS3XjGmw4P9xt8riXKT9TC0Hi3MgbUC2/view;200;0;2000;NO;0.31
Olavarría;N°3651/14;15/5/2014;https://drive.google.com/file/d/1-wb4l4SPcHqV0HCzzKklQFxm0XC5jeCH/view;100;0;500;SI;0.09
Patagones;;;;;;;;
Pehuajó;82;;https://drive.google.com/file/d/1URG7nngz1LyV8nmsgO-biA5D2qff2dqk/view;0;0;0;NO;0.01
Pellegrini;Nº 1185/2013;2013;;200;0;0;SI;0.03
Pergamino;N°8126/14;10/12/2014;https://drive.google.com/file/d/1RdyKAlqzt6n6E5zB98gXbUhYoW9WtLLj/view;100;500;0;NO;0.05
Pila;;;;;;;;0.01
Pilar;;;;;;;;
Pinamar;;;;;;;;
Presidente Perón;N°708/10;26/10/2010;https://drive.google.com/file/d/116iXokAynUH32mPk8puICokxygJmxvIj/view;500;0;1;SI;0.08
Puán;N°4439/08;28/5/2008;https://drive.google.com/file/d/10_CuaTtFScVepxkIttdzzgsnChiMiRYE/view;300;0;0;SI;0.05
Punta Indio;;;;;;;;
Quilmes;;;;;;;;
Ramallo;N°5133/15;31/3/2015;https://drive.google.com/file/d/1ZPHlvF8poTrgTACTeYNIohQcfHlyYXTE/view;300;0;1;NO;0.46
Rauch;N°850/12;;;500;0;1000;NO;0.21
Rivadavia;N°3371/11;3/11/2011;https://drive.google.com/file/d/1u1XlDlYxTSQexRwvDpe7NnrIC6x6fmbO/view;100;0;200;SI;0.05
Rojas;;;;;;;;
Roque Pérez;N°2192/18;17/8/2018;https://drive.google.com/file/d/1DqGzOrDfW3M4lTNY7T-gzdiGw3zy7f4z/view;1000;100;500;SI;0.22
Saavedra;N°6092/12;31/10/2012;https://drive.google.com/file/d/1tp68pz9sbU0wHBti0VBP4BCGDdWsd7md/view;500;0;500;SI;0.14
Saladillo;N°77/08;2/12/2008;https://drive.google.com/file/d/1VtMszOmrbH_XGnpTukInvzJ5kh6paK-B/view;100;0;0;SI;0.02
Salliqueló;N°1584/14;27/11/2014;https://drive.google.com/file/d/1W5W5GpE1obVc1zD40EgR3e8JocndLY6X/view;1;1;0;SI;0.01
Salto;N°86/14;2014;https://drive.google.com/file/d/1aqnY9b-ynt16HZHQbk3Z6HtO4YndbIG0/view;100;400;0;NO;0.05
San Andrés de Giles;N°2047/17;8/11/2017;https://drive.google.com/file/d/12p5MjYWsqwIyTGmFtivnEraxCXX6w02D/view;0;100;500;NO;0.08
San Antonio de Areco;N°3919/14;15/9/2014;https://drive.google.com/file/d/1PwlwzTOo_iNFGC3xZbo0lH1SPUKDFHCn/view;100;2000;3000;SI;0.57
San Cayetano;N°992/00;1/11/2000;https://drive.google.com/file/d/1P3WcEU_UJYmHC1YkAi79m2bHEvAc3JoG/view;0;0;0;NO;0.01
San Fernando;;;;;;;;
San Isidro;;;;;;;;
San Miguel;;;;;;;;
San Nicolás;N°7044/07;2007;https://drive.google.com/file/d/1oD5aH5-VD_5_uIjHd-7g0dgrsEvaIzyN/view;0;0;0;NO;0.01
San Pedro;N°5579/06;28/7/2006;https://drive.google.com/file/d/1QsYmi06UR98oB9hwSX182ciDgW59lz5e/view;300;0;0;NO;0.05
San Vicente;;;;;;;;
Suipacha;;;;;;;;0.01
Tandil;N°17404/21;6/12/2021;https://drive.google.com/file/d/1X2AcXSB-JRMSbttPxtpworMLNtpyjWDf/view;150;500;2000;SI;0.34
Tapalqué;;;;;;;;
Tigre;;;;;;;;
Tordillo;;;;;;;;
Tornquist;N°2725/15;8/1/2015;https://drive.google.com/file/d/15-k7suW5BCJC5a8wXNbqjMmh2UPE0kgh/view?usp=drive_open;200;200;0;SI;0.05
Trenque Lauquen;N°3965/13;13/10/2013;https://drive.google.com/file/d/16ioI6lX6hOxuqTS0jps5zH2n_VHzwIHw/view;0;100;500;SI;0.08
Tres Arroyos;N°7084/17;30/11/2017;https://drive.google.com/file/d/1Jxb1fLN-t_uuPCD9x4-Yo-oTsMr2_1ZT/view;0;0;0;NO;0.01
Tres de Febrero;;;;;;;;
Tres Lomas;N°1246/18;29/11/2018;https://drive.google.com/file/d/1ckxQfkVTbwLNSR7pszRdnKWhPhDOR-Qk/view;0;0;0;NO;0.01
Veinticinco de Mayo;N°3380/18;12/11/2018;https://drive.google.com/file/d/1fkicKDzXFmvPQvvZUw9PoOORIhCwSfl2/view;60;0;150;SI;0.04
Vicente López;;;;0;0;0;NO;0.01
Villa Gesell;;;;;;;;0
Villarino;;;;;;;;0
Zárate;;;;;;;;0
