Municipios;Ordenanza;Fecha;Link - Repositorio;Cursos de agua - Exclusion;Cursos de agua - Amortiguamiento;Cursos de agua - Exclusion Aerea;Superficies de agua - Exclusion;Superficies de agua - Amortiguamiento;Superficie de agua - Exclusion Aerea;Campo de bombeo - Exclusion;Campo de bombeo - Amortiguamiento;Campo de bombeo - Exclusión Aerea;Puntaje
San Miguel;;;;;;;;;;;;;
San Nicolás;N°7044/07;2007;https://drive.google.com/file/d/1oD5aH5-VD_5_uIjHd-7g0dgrsEvaIzyN/view;0;0;0;0;0;0;0;0;0;0.001
San Pedro;N°5579/06;28/7/2006;https://drive.google.com/file/d/1QsYmi06UR98oB9hwSX182ciDgW59lz5e/view;0;0;0;0;0;0;0;0;0;0.001
San Vicente;;;;;;;;;;;;;
Suipacha;;;;;;;;;;;;;0.001
Tandil;N°17404/21;6/12/2021;https://drive.google.com/file/d/1X2AcXSB-JRMSbttPxtpworMLNtpyjWDf/view;50;0;0;50;0;0;50;0;0;0.016
Tapalqué;;;;;;;;;;;;;
Tigre;;;;;;;;;;;;;
Tordillo;;;;;;;;;;;;;
Tornquist;N°2725/15;8/1/2015;https://drive.google.com/file/d/15-k7suW5BCJC5a8wXNbqjMmh2UPE0kgh/view?usp=drive_open;25;0;50;25;0;50;50;0;100;0.031
Trenque Lauquen;N°3965/13;13/10/2013;https://drive.google.com/file/d/16ioI6lX6hOxuqTS0jps5zH2n_VHzwIHw/view;30;0;0;30;0;0;30;0;0;0.010
Tres Arroyos;N°7084/17;30/11/2017;https://drive.google.com/file/d/1Jxb1fLN-t_uuPCD9x4-Yo-oTsMr2_1ZT/view;0;0;0;0;0;0;0;0;0;0.001
Tres de Febrero;;;;;;;;;;;;;
Tres Lomas;N°1246/18;29/11/2018;https://drive.google.com/file/d/1ckxQfkVTbwLNSR7pszRdnKWhPhDOR-Qk/view;0;0;0;0;0;0;0;0;0;0.001
Veinticinco de Mayo;N°3380/18;12/11/2018;https://drive.google.com/file/d/1fkicKDzXFmvPQvvZUw9PoOORIhCwSfl2/view;0;0;0;0;0;0;0;0;0;0.001
Vicente López;;;;0;0;0;0;0;0;0;0;0;0.001
Villa Gesell;;;;;;;;;;;;;
Villarino;;;;;;;;;;;;;
Zárate;;;;;;;;;;;;;
